ca.rmen.android.networkmonitor - Installs by user by Android Version for 2013-05-26 - 2019-02-24
,,Metric,Installs by user,Notes
,,Dimension,All Android versions
Period,Date
2013-05-26 - 2019-02-24,2013-12-05,,57
2013-05-26 - 2019-02-24,2013-12-06,,35
2013-05-26 - 2019-02-24,2013-12-07,,55
2013-05-26 - 2019-02-24,2013-12-08,,41
2013-05-26 - 2019-02-24,2013-12-09,,39
2013-05-26 - 2019-02-24,2013-12-10,,39
2013-05-26 - 2019-02-24,2013-12-11,,54
2013-05-26 - 2019-02-24,2013-12-12,,34
2013-05-26 - 2019-02-24,2013-12-13,,48
2013-05-26 - 2019-02-24,2013-12-14,,36
2013-05-26 - 2019-02-24,2013-12-15,,38
2013-05-26 - 2019-02-24,2013-12-16,,42
2013-05-26 - 2019-02-24,2013-12-17,,35
2013-05-26 - 2019-02-24,2013-12-18,,41
2013-05-26 - 2019-02-24,2013-12-19,,43
2013-05-26 - 2019-02-24,2013-12-20,,44
2013-05-26 - 2019-02-24,2013-12-21,,29
2013-05-26 - 2019-02-24,2013-12-22,,39
2013-05-26 - 2019-02-24,2013-12-23,,37
2013-05-26 - 2019-02-24,2013-12-24,,40
2013-05-26 - 2019-02-24,2013-12-25,,40
2013-05-26 - 2019-02-24,2013-12-26,,46
2013-05-26 - 2019-02-24,2013-12-27,,44
2013-05-26 - 2019-02-24,2013-12-28,,44
2013-05-26 - 2019-02-24,2013-12-29,,36
2013-05-26 - 2019-02-24,2013-12-30,,35
2013-05-26 - 2019-02-24,2013-12-31,,40
2013-05-26 - 2019-02-24,2014-01-01,,33
2013-05-26 - 2019-02-24,2014-01-02,,42
2013-05-26 - 2019-02-24,2014-01-03,,71
2013-05-26 - 2019-02-24,2014-01-04,,88
2013-05-26 - 2019-02-24,2014-01-05,,66
2013-05-26 - 2019-02-24,2014-01-06,,52
2013-05-26 - 2019-02-24,2014-01-07,,52
2013-05-26 - 2019-02-24,2014-01-08,,42
2013-05-26 - 2019-02-24,2014-01-09,,46
2013-05-26 - 2019-02-24,2014-01-10,,46
2013-05-26 - 2019-02-24,2014-01-11,,57
2013-05-26 - 2019-02-24,2014-01-12,,60
2013-05-26 - 2019-02-24,2014-01-13,,56
2013-05-26 - 2019-02-24,2014-01-14,,52
2013-05-26 - 2019-02-24,2014-01-15,,68
2013-05-26 - 2019-02-24,2014-01-16,,47
2013-05-26 - 2019-02-24,2014-01-17,,49
2013-05-26 - 2019-02-24,2014-01-18,,62
2013-05-26 - 2019-02-24,2014-01-19,,60
2013-05-26 - 2019-02-24,2014-01-20,,45
2013-05-26 - 2019-02-24,2014-01-21,,54
2013-05-26 - 2019-02-24,2014-01-22,,53
2013-05-26 - 2019-02-24,2014-01-23,,53
2013-05-26 - 2019-02-24,2014-01-24,,66
2013-05-26 - 2019-02-24,2014-01-25,,59
2013-05-26 - 2019-02-24,2014-01-26,,50
2013-05-26 - 2019-02-24,2014-01-27,,66
2013-05-26 - 2019-02-24,2014-01-28,,57
2013-05-26 - 2019-02-24,2014-01-29,,40
2013-05-26 - 2019-02-24,2014-01-30,,53
2013-05-26 - 2019-02-24,2014-01-31,,34
2013-05-26 - 2019-02-24,2014-02-01,,37
2013-05-26 - 2019-02-24,2014-02-02,,42
2013-05-26 - 2019-02-24,2014-02-03,,59
2013-05-26 - 2019-02-24,2014-02-04,,59
2013-05-26 - 2019-02-24,2014-02-05,,56
2013-05-26 - 2019-02-24,2014-02-06,,45
2013-05-26 - 2019-02-24,2014-02-07,,47
2013-05-26 - 2019-02-24,2014-02-08,,47
2013-05-26 - 2019-02-24,2014-02-09,,49
2013-05-26 - 2019-02-24,2014-02-10,,65
2013-05-26 - 2019-02-24,2014-02-11,,52
2013-05-26 - 2019-02-24,2014-02-12,,79
2013-05-26 - 2019-02-24,2014-02-13,,52
2013-05-26 - 2019-02-24,2014-02-14,,57
2013-05-26 - 2019-02-24,2014-02-15,,40
2013-05-26 - 2019-02-24,2014-02-16,,64
2013-05-26 - 2019-02-24,2014-02-17,,58
2013-05-26 - 2019-02-24,2014-02-18,,51
2013-05-26 - 2019-02-24,2014-02-19,,63
2013-05-26 - 2019-02-24,2014-02-20,,76
2013-05-26 - 2019-02-24,2014-02-21,,51
2013-05-26 - 2019-02-24,2014-02-22,,54
2013-05-26 - 2019-02-24,2014-02-23,,36
2013-05-26 - 2019-02-24,2014-02-24,,52
2013-05-26 - 2019-02-24,2014-02-25,,46
2013-05-26 - 2019-02-24,2014-02-26,,42
2013-05-26 - 2019-02-24,2014-02-27,,49
2013-05-26 - 2019-02-24,2014-02-28,,47
2013-05-26 - 2019-02-24,2014-03-01,,38
2013-05-26 - 2019-02-24,2014-03-02,,34
2013-05-26 - 2019-02-24,2014-03-03,,59
2013-05-26 - 2019-02-24,2014-03-04,,59
2013-05-26 - 2019-02-24,2014-03-05,,43
2013-05-26 - 2019-02-24,2014-03-06,,57
2013-05-26 - 2019-02-24,2014-03-07,,38
2013-05-26 - 2019-02-24,2014-03-08,,44
2013-05-26 - 2019-02-24,2014-03-09,,43
2013-05-26 - 2019-02-24,2014-03-10,,48
2013-05-26 - 2019-02-24,2014-03-11,,51
2013-05-26 - 2019-02-24,2014-03-12,,50
2013-05-26 - 2019-02-24,2014-03-13,,59
2013-05-26 - 2019-02-24,2014-03-14,,49
2013-05-26 - 2019-02-24,2014-03-15,,53
2013-05-26 - 2019-02-24,2014-03-16,,30
2013-05-26 - 2019-02-24,2014-03-17,,53
2013-05-26 - 2019-02-24,2014-03-18,,55
2013-05-26 - 2019-02-24,2014-03-19,,53
2013-05-26 - 2019-02-24,2014-03-20,,47
2013-05-26 - 2019-02-24,2014-03-21,,48
2013-05-26 - 2019-02-24,2014-03-22,,39
2013-05-26 - 2019-02-24,2014-03-23,,43
2013-05-26 - 2019-02-24,2014-03-24,,43
2013-05-26 - 2019-02-24,2014-03-25,,42
2013-05-26 - 2019-02-24,2014-03-26,,60
2013-05-26 - 2019-02-24,2014-03-27,,54
2013-05-26 - 2019-02-24,2014-03-28,,47
2013-05-26 - 2019-02-24,2014-03-29,,57
2013-05-26 - 2019-02-24,2014-03-30,,47
2013-05-26 - 2019-02-24,2014-03-31,,53
2013-05-26 - 2019-02-24,2014-04-01,,52
2013-05-26 - 2019-02-24,2014-04-02,,56
2013-05-26 - 2019-02-24,2014-04-03,,41
2013-05-26 - 2019-02-24,2014-04-04,,46
2013-05-26 - 2019-02-24,2014-04-05,,54
2013-05-26 - 2019-02-24,2014-04-06,,56
2013-05-26 - 2019-02-24,2014-04-07,,67
2013-05-26 - 2019-02-24,2014-04-08,,40
2013-05-26 - 2019-02-24,2014-04-09,,52
2013-05-26 - 2019-02-24,2014-04-10,,46
2013-05-26 - 2019-02-24,2014-04-11,,59
2013-05-26 - 2019-02-24,2014-04-12,,52
2013-05-26 - 2019-02-24,2014-04-13,,50
2013-05-26 - 2019-02-24,2014-04-14,,58
2013-05-26 - 2019-02-24,2014-04-15,,45
2013-05-26 - 2019-02-24,2014-04-16,,50
2013-05-26 - 2019-02-24,2014-04-17,,53
2013-05-26 - 2019-02-24,2014-04-18,,69
2013-05-26 - 2019-02-24,2014-04-19,,50
2013-05-26 - 2019-02-24,2014-04-20,,53
2013-05-26 - 2019-02-24,2014-04-21,,48
2013-05-26 - 2019-02-24,2014-04-22,,51
2013-05-26 - 2019-02-24,2014-04-23,,43
2013-05-26 - 2019-02-24,2014-04-24,,62
2013-05-26 - 2019-02-24,2014-04-25,,55
2013-05-26 - 2019-02-24,2014-04-26,,52
2013-05-26 - 2019-02-24,2014-04-27,,61
2013-05-26 - 2019-02-24,2014-04-28,,61
2013-05-26 - 2019-02-24,2014-04-29,,59
2013-05-26 - 2019-02-24,2014-04-30,,48
2013-05-26 - 2019-02-24,2014-05-01,,56
2013-05-26 - 2019-02-24,2014-05-02,,51
2013-05-26 - 2019-02-24,2014-05-03,,36
2013-05-26 - 2019-02-24,2014-05-04,,42
2013-05-26 - 2019-02-24,2014-05-05,,53
2013-05-26 - 2019-02-24,2014-05-06,,47
2013-05-26 - 2019-02-24,2014-05-07,,45
2013-05-26 - 2019-02-24,2014-05-08,,49
2013-05-26 - 2019-02-24,2014-05-09,,33
2013-05-26 - 2019-02-24,2014-05-10,,53
2013-05-26 - 2019-02-24,2014-05-11,,55
2013-05-26 - 2019-02-24,2014-05-12,,43
2013-05-26 - 2019-02-24,2014-05-13,,37
2013-05-26 - 2019-02-24,2014-05-14,,53
2013-05-26 - 2019-02-24,2014-05-15,,58
2013-05-26 - 2019-02-24,2014-05-16,,45
2013-05-26 - 2019-02-24,2014-05-17,,39
2013-05-26 - 2019-02-24,2014-05-18,,59
2013-05-26 - 2019-02-24,2014-05-19,,55
2013-05-26 - 2019-02-24,2014-05-20,,51
2013-05-26 - 2019-02-24,2014-05-21,,45
2013-05-26 - 2019-02-24,2014-05-22,,45
2013-05-26 - 2019-02-24,2014-05-23,,45
2013-05-26 - 2019-02-24,2014-05-24,,72
2013-05-26 - 2019-02-24,2014-05-25,,58
2013-05-26 - 2019-02-24,2014-05-26,,50
2013-05-26 - 2019-02-24,2014-05-27,,58
2013-05-26 - 2019-02-24,2014-05-28,,52
2013-05-26 - 2019-02-24,2014-05-29,,45
2013-05-26 - 2019-02-24,2014-05-30,,53
2013-05-26 - 2019-02-24,2014-05-31,,43
2013-05-26 - 2019-02-24,2014-06-01,,38
2013-05-26 - 2019-02-24,2014-06-02,,57
2013-05-26 - 2019-02-24,2014-06-03,,48
2013-05-26 - 2019-02-24,2014-06-04,,46
2013-05-26 - 2019-02-24,2014-06-05,,28
2013-05-26 - 2019-02-24,2014-06-06,,40
2013-05-26 - 2019-02-24,2014-06-07,,40
2013-05-26 - 2019-02-24,2014-06-08,,47
2013-05-26 - 2019-02-24,2014-06-09,,34
2013-05-26 - 2019-02-24,2014-06-10,,47
2013-05-26 - 2019-02-24,2014-06-11,,38
2013-05-26 - 2019-02-24,2014-06-12,,44
2013-05-26 - 2019-02-24,2014-06-13,,41
2013-05-26 - 2019-02-24,2014-06-14,,20
2013-05-26 - 2019-02-24,2014-06-15,,32
2013-05-26 - 2019-02-24,2014-06-16,,28
2013-05-26 - 2019-02-24,2014-06-17,,42
2013-05-26 - 2019-02-24,2014-06-18,,34
2013-05-26 - 2019-02-24,2014-06-19,,31
2013-05-26 - 2019-02-24,2014-06-20,,29
2013-05-26 - 2019-02-24,2014-06-21,,40
2013-05-26 - 2019-02-24,2014-06-22,,43
2013-05-26 - 2019-02-24,2014-06-23,,27
2013-05-26 - 2019-02-24,2014-06-24,,26
2013-05-26 - 2019-02-24,2014-06-25,,40
2013-05-26 - 2019-02-24,2014-06-26,,19
2013-05-26 - 2019-02-24,2014-06-27,,25
2013-05-26 - 2019-02-24,2014-06-28,,24
2013-05-26 - 2019-02-24,2014-06-29,,22
2013-05-26 - 2019-02-24,2014-06-30,,23
2013-05-26 - 2019-02-24,2014-07-01,,22
2013-05-26 - 2019-02-24,2014-07-02,,38
2013-05-26 - 2019-02-24,2014-07-03,,27
2013-05-26 - 2019-02-24,2014-07-04,,32
2013-05-26 - 2019-02-24,2014-07-05,,30
2013-05-26 - 2019-02-24,2014-07-06,,25
2013-05-26 - 2019-02-24,2014-07-07,,31
2013-05-26 - 2019-02-24,2014-07-08,,36
2013-05-26 - 2019-02-24,2014-07-09,,38
2013-05-26 - 2019-02-24,2014-07-10,,18
2013-05-26 - 2019-02-24,2014-07-11,,28
2013-05-26 - 2019-02-24,2014-07-12,,31
2013-05-26 - 2019-02-24,2014-07-13,,16
2013-05-26 - 2019-02-24,2014-07-14,,21
2013-05-26 - 2019-02-24,2014-07-15,,33
2013-05-26 - 2019-02-24,2014-07-16,,39
2013-05-26 - 2019-02-24,2014-07-17,,26
2013-05-26 - 2019-02-24,2014-07-18,,33
2013-05-26 - 2019-02-24,2014-07-19,,27
2013-05-26 - 2019-02-24,2014-07-20,,28
2013-05-26 - 2019-02-24,2014-07-21,,31
2013-05-26 - 2019-02-24,2014-07-22,,30
2013-05-26 - 2019-02-24,2014-07-23,,34
2013-05-26 - 2019-02-24,2014-07-24,,48
2013-05-26 - 2019-02-24,2014-07-25,,30
2013-05-26 - 2019-02-24,2014-07-26,,27
2013-05-26 - 2019-02-24,2014-07-27,,19
2013-05-26 - 2019-02-24,2014-07-28,,35
2013-05-26 - 2019-02-24,2014-07-29,,29
2013-05-26 - 2019-02-24,2014-07-30,,29
2013-05-26 - 2019-02-24,2014-07-31,,32
2013-05-26 - 2019-02-24,2014-08-01,,43
2013-05-26 - 2019-02-24,2014-08-02,,25
2013-05-26 - 2019-02-24,2014-08-03,,32
2013-05-26 - 2019-02-24,2014-08-04,,34
2013-05-26 - 2019-02-24,2014-08-05,,48
2013-05-26 - 2019-02-24,2014-08-06,,40
2013-05-26 - 2019-02-24,2014-08-07,,44
2013-05-26 - 2019-02-24,2014-08-08,,32
2013-05-26 - 2019-02-24,2014-08-09,,21
2013-05-26 - 2019-02-24,2014-08-10,,27
2013-05-26 - 2019-02-24,2014-08-11,,35
2013-05-26 - 2019-02-24,2014-08-12,,24
2013-05-26 - 2019-02-24,2014-08-13,,32
2013-05-26 - 2019-02-24,2014-08-14,,33
2013-05-26 - 2019-02-24,2014-08-15,,39
2013-05-26 - 2019-02-24,2014-08-16,,30
2013-05-26 - 2019-02-24,2014-08-17,,33
2013-05-26 - 2019-02-24,2014-08-18,,31
2013-05-26 - 2019-02-24,2014-08-19,,35
2013-05-26 - 2019-02-24,2014-08-20,,31
2013-05-26 - 2019-02-24,2014-08-21,,33
2013-05-26 - 2019-02-24,2014-08-22,,44
2013-05-26 - 2019-02-24,2014-08-23,,37
2013-05-26 - 2019-02-24,2014-08-24,,31
2013-05-26 - 2019-02-24,2014-08-25,,33
2013-05-26 - 2019-02-24,2014-08-26,,30
2013-05-26 - 2019-02-24,2014-08-27,,42
2013-05-26 - 2019-02-24,2014-08-28,,39
2013-05-26 - 2019-02-24,2014-08-29,,44
2013-05-26 - 2019-02-24,2014-08-30,,33
2013-05-26 - 2019-02-24,2014-08-31,,32
2013-05-26 - 2019-02-24,2014-09-01,,42
2013-05-26 - 2019-02-24,2014-09-02,,41
2013-05-26 - 2019-02-24,2014-09-03,,45
2013-05-26 - 2019-02-24,2014-09-04,,47
2013-05-26 - 2019-02-24,2014-09-05,,36
2013-05-26 - 2019-02-24,2014-09-06,,41
2013-05-26 - 2019-02-24,2014-09-07,,40
2013-05-26 - 2019-02-24,2014-09-08,,29
2013-05-26 - 2019-02-24,2014-09-09,,46
2013-05-26 - 2019-02-24,2014-09-10,,50
2013-05-26 - 2019-02-24,2014-09-11,,37
2013-05-26 - 2019-02-24,2014-09-12,,41
2013-05-26 - 2019-02-24,2014-09-13,,30
2013-05-26 - 2019-02-24,2014-09-14,,42
2013-05-26 - 2019-02-24,2014-09-15,,45
2013-05-26 - 2019-02-24,2014-09-16,,58
2013-05-26 - 2019-02-24,2014-09-17,,52
2013-05-26 - 2019-02-24,2014-09-18,,52
2013-05-26 - 2019-02-24,2014-09-19,,65
2013-05-26 - 2019-02-24,2014-09-20,,49
2013-05-26 - 2019-02-24,2014-09-21,,39
2013-05-26 - 2019-02-24,2014-09-22,,55
2013-05-26 - 2019-02-24,2014-09-23,,50
2013-05-26 - 2019-02-24,2014-09-24,,62
2013-05-26 - 2019-02-24,2014-09-25,,59
2013-05-26 - 2019-02-24,2014-09-26,,52
2013-05-26 - 2019-02-24,2014-09-27,,66
2013-05-26 - 2019-02-24,2014-09-28,,64
2013-05-26 - 2019-02-24,2014-09-29,,80
2013-05-26 - 2019-02-24,2014-09-30,,51
2013-05-26 - 2019-02-24,2014-10-01,,68
2013-05-26 - 2019-02-24,2014-10-02,,72
2013-05-26 - 2019-02-24,2014-10-03,,50
2013-05-26 - 2019-02-24,2014-10-04,,57
2013-05-26 - 2019-02-24,2014-10-05,,66
2013-05-26 - 2019-02-24,2014-10-06,,56
2013-05-26 - 2019-02-24,2014-10-07,,66
2013-05-26 - 2019-02-24,2014-10-08,,74
2013-05-26 - 2019-02-24,2014-10-09,,71
2013-05-26 - 2019-02-24,2014-10-10,,65
2013-05-26 - 2019-02-24,2014-10-11,,51
2013-05-26 - 2019-02-24,2014-10-12,,62
2013-05-26 - 2019-02-24,2014-10-13,,63
2013-05-26 - 2019-02-24,2014-10-14,,82
2013-05-26 - 2019-02-24,2014-10-15,,65
2013-05-26 - 2019-02-24,2014-10-16,,58
2013-05-26 - 2019-02-24,2014-10-17,,76
2013-05-26 - 2019-02-24,2014-10-18,,59
2013-05-26 - 2019-02-24,2014-10-19,,70
2013-05-26 - 2019-02-24,2014-10-20,,83
2013-05-26 - 2019-02-24,2014-10-21,,62
2013-05-26 - 2019-02-24,2014-10-22,,63
2013-05-26 - 2019-02-24,2014-10-23,,66
2013-05-26 - 2019-02-24,2014-10-24,,68
2013-05-26 - 2019-02-24,2014-10-25,,64
2013-05-26 - 2019-02-24,2014-10-26,,41
2013-05-26 - 2019-02-24,2014-10-27,,57
2013-05-26 - 2019-02-24,2014-10-28,,61
2013-05-26 - 2019-02-24,2014-10-29,,60
2013-05-26 - 2019-02-24,2014-10-30,,67
2013-05-26 - 2019-02-24,2014-10-31,,56
2013-05-26 - 2019-02-24,2014-11-01,,70
2013-05-26 - 2019-02-24,2014-11-02,,70
2013-05-26 - 2019-02-24,2014-11-03,,77
2013-05-26 - 2019-02-24,2014-11-04,,74
2013-05-26 - 2019-02-24,2014-11-05,,57
